idCliente,idServidor,velocidad,distancia
13,268,2000,831
13,299,1000,692
16,70,3000,796
16,115,3000,969
16,150,1000,587
16,190,2000,750
16,254,2000,572
16,283,1000,878
16,299,3000,584
25,31,3000,467
25,54,2000,75
25,95,3000,39
25,96,3000,396
25,128,2000,484
25,162,3000,939
25,177,2000,529
25,190,2000,282
25,195,2000,145
25,209,3000,599
25,214,3000,279
25,228,2000,266
25,238,2000,362
25,243,3000,529
25,273,2000,798
25,283,1000,285
25,299,2000,792
29,31,3000,657
29,92,3000,17
29,96,2000,461
29,131,2000,787
29,162,1000,563
29,165,2000,608
29,228,2000,437
29,238,2000,358
29,265,2000,574
31,65,2000,25
31,67,2000,793
31,110,1000,544
31,115,1000,632
31,214,1000,277
31,228,1000,709
31,233,3000,658
31,243,2000,679
31,251,1000,929
54,74,2000,775
54,75,1000,462
54,95,2000,461
54,258,2000,459
54,268,3000,420
54,281,3000,579
54,283,2000,528
65,67,2000,564
65,70,3000,343
65,74,2000,188
65,77,1000,500
65,128,1000,378
65,140,2000,642
65,162,3000,474
65,165,1000,625
65,177,2000,140
65,209,1000,322
65,211,3000,894
65,233,3000,110
65,299,1000,850
67,70,3000,795
67,74,2000,464
67,95,3000,690
67,162,2000,371
67,164,3000,688
67,177,1000,172
67,179,3000,22
67,188,2000,445
67,202,1000,185
67,205,3000,876
67,209,3000,54
67,258,3000,515
70,74,3000,369
70,77,1000,79
70,115,3000,962
70,117,3000,695
70,150,3000,722
70,205,2000,713
70,211,2000,836
70,238,2000,783
70,258,3000,195
70,281,3000,791
74,77,1000,750
74,115,3000,683
74,117,3000,20
74,188,2000,602
74,205,1000,769
74,214,2000,133
74,268,2000,883
74,281,1000,639
75,128,2000,192
75,131,2000,467
75,190,2000,491
75,209,1000,645
75,251,2000,492
75,258,2000,429
75,281,3000,602
75,283,3000,645
77,117,2000,304
77,140,3000,253
77,188,2000,305
77,209,1000,305
77,233,1000,660
77,258,2000,792
77,281,2000,590
92,164,1000,454
92,179,2000,338
92,188,1000,142
92,202,2000,168
92,205,1000,62
92,209,2000,586
92,214,2000,154
92,243,3000,227
92,254,1000,80
92,258,3000,166
92,268,1000,687
92,273,3000,100
92,283,1000,727
92,299,1000,353
95,115,3000,705
95,117,3000,275
95,128,2000,961
95,140,2000,858
95,177,1000,895
95,202,2000,392
95,209,3000,92
95,228,1000,630
95,251,1000,996
95,268,1000,177
95,299,3000,213
96,110,1000,927
96,128,1000,767
96,131,3000,115
96,195,3000,828
96,202,1000,865
96,238,2000,430
96,258,2000,581
96,268,2000,4
96,283,3000,670
110,140,1000,987
110,162,3000,713
110,164,2000,991
110,190,2000,405
110,205,3000,193
110,243,3000,372
110,251,2000,872
110,254,2000,403
110,283,3000,72
110,299,3000,334
115,117,2000,319
115,162,3000,875
115,165,1000,203
115,188,2000,117
115,209,2000,727
115,214,1000,948
115,228,1000,672
115,238,3000,879
115,243,1000,591
115,281,2000,646
117,140,3000,256
117,164,2000,553
117,188,3000,594
117,190,1000,379
117,200,2000,609
117,205,1000,680
117,251,2000,932
117,254,3000,100
117,273,2000,211
128,162,2000,846
128,164,2000,404
128,190,1000,157
128,194,1000,930
128,195,1000,459
128,202,2000,748
128,209,1000,53
131,140,3000,820
131,177,3000,693
131,200,1000,673
131,205,2000,73
131,209,3000,444
131,251,2000,353
131,268,2000,85
131,299,1000,7
140,177,3000,249
140,179,2000,217
140,188,3000,557
140,214,1000,93
140,251,1000,907
140,268,3000,819
140,283,1000,736
140,299,2000,702
150,162,2000,942
150,164,2000,949
150,194,1000,647
150,202,1000,749
150,205,2000,494
150,209,3000,913
150,211,1000,788
150,265,2000,351
150,299,2000,955
162,200,3000,268
162,205,3000,258
162,258,1000,239
162,268,2000,608
162,281,3000,311
162,299,2000,290
164,179,1000,60
164,190,3000,472
164,195,1000,949
164,211,2000,358
164,214,2000,403
164,233,2000,130
164,258,1000,385
164,273,1000,555
164,283,1000,245
165,179,2000,241
165,195,2000,473
165,233,1000,262
165,243,1000,983
165,258,2000,983
165,283,1000,931
177,254,2000,537
177,268,1000,968
177,273,1000,444
179,190,2000,774
179,202,2000,480
179,214,1000,805
179,233,2000,215
179,238,1000,95
179,251,3000,99
179,268,2000,65
188,205,2000,90
188,211,1000,833
188,214,3000,995
188,243,2000,853
188,251,3000,748
188,283,1000,869
190,194,1000,435
190,200,2000,854
190,205,2000,675
190,233,2000,697
190,238,2000,663
190,254,2000,131
190,265,2000,371
194,202,1000,737
194,205,3000,69
194,254,1000,733
194,268,1000,155
195,211,1000,227
195,238,3000,553
195,254,1000,49
195,281,2000,363
200,202,1000,95
200,211,2000,70
200,254,2000,967
200,258,3000,952
200,281,2000,799
202,205,1000,48
202,251,1000,2
202,268,3000,580
205,214,1000,646
205,243,2000,629
209,228,2000,431
209,283,1000,112
211,243,3000,772
211,251,1000,21
211,273,3000,770
214,228,3000,714
214,238,3000,300
214,254,1000,337
214,273,3000,219
214,281,1000,614
214,283,2000,462
228,233,3000,894
228,243,2000,7
228,258,2000,648
233,243,1000,623
233,251,3000,270
233,258,2000,439
233,265,2000,222
233,273,1000,633
238,243,3000,939
251,258,1000,94
258,265,2000,990
258,281,1000,734
265,283,1000,473
268,299,3000,977
273,283,3000,874
283,299,3000,772
